company_name,experience_required,job_description,job_description_url,job_title,key_skills,location,posted_by,posted_on,salary
,,,,,,,,,
Sanjeo Technologies,0-4 yrs,,https://www.naukri.com/job-listings-Data-Analyst-Sanjeo-Technologies-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Kolkata-Chandigarh-Indore-Jaipur-0-to-4-years-030918004188?src=jobsearchDesk&sid=1539017115299&xp=1&px=2,Data Analyst,"powerpoint, word, publishing, data analysis, excel, sql, sas, spss, vba, ms...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Kolkata, Chandigarh, Indore, Jaipur",Sanjana Singh,2018-09-10,"4,25,000 - 9,25,000 P.A. Best in Industries"
KartRocket,3-4 yrs,Experience in direct marketing campaign analysis and reporting;Experience in data-driven problem ...,https://www.naukri.com/job-listings-Marketing-Data-Analyst-KartRocket-Delhi-3-to-4-years-180918004187?src=jobsearchDesk&sid=1539017115299&xp=2&px=2,Marketing / Data Analyst,"Data Analyst, Data Analysis, Report automation, Web Analytics...",Delhi,HR,2018-09-18,Not disclosed
Gartner India Research & Advisory Services Pvt Ltd,0-4 yrs,,https://www.naukri.com/job-listings-Power-BI-Data-Analyst-Gartner-India-Research-Advisory-Services-Pvt-Ltd-Gurgaon-0-to-4-years-170918901009?src=jobsearchDesk&sid=1539017115299&xp=3&px=2,Power BI - Data Analyst,"Data Quality, Email Marketing, Data Analysis, Power Bi, SQL Queries...",Gurgaon,HR,2018-09-17,Not disclosed
Optum Global Solutions (India) Private Limited,5-8 yrs,"5+ years of experience in SPARK, MARP and TWS and SSMO;Experience with Analysis, Design, Development, ...",https://www.naukri.com/job-listings-Senior-Data-Analyst-Spark-MARP-Optum-Global-Solutions-India-Private-Limited-Gurgaon-5-to-8-years-100918900096?src=jobsearchDesk&sid=1539017115299&xp=4&px=2,"Senior Data Analyst - ( Spark, MARP )","Core Java, Spring Mvc, JSP Servlets, SOAP, Spring Framework, J2Ee, Wso2...",Gurgaon,HR,2018-09-12,Not disclosed
Careerist management Consultants Pvt. Ltd.,3-8 yrs,,https://www.naukri.com/job-listings-Business-Analyst-data-Analyst-Careerist-management-Consultants-Pvt-Ltd-Gurgaon-3-to-8-years-200818006209?src=jobsearchDesk&sid=1539017115299&xp=5&px=2,Business Analyst/data Analyst,"data analysis, data analyst, data analytics, data mining, data crunching...",Gurgaon,Vimal Sharma,2018-09-06,"4,00,000 - 7,00,000 P.A."
HR Escalations,3-5 yrs,,https://www.naukri.com/job-listings-MIS-Executive-Data-Analyst-with-English-Speaking-Skills-HR-Escalations-Delhi-3-to-5-years-050818000195?src=jobsearchDesk&sid=1539017115299&xp=6&px=2,MIS Executive / Data Analyst with English Speaking Skills,"excel, spss, data analysis, market research, reporting tools...",Delhi,Mukesh Negi,2018-09-27,"2,50,000 - 3,50,000 P.A."
Quality Council Of India,2-5 yrs,- Must have Analytical/problem solving ability;Experience in framework designing and strategy;- Hands on ...,https://www.naukri.com/job-listings-Data-Analyst-Quality-Council-Of-India-Delhi-NCR-2-to-5-years-070918001327?src=jobsearchDesk&sid=1539017115299&xp=7&px=2,Data Analyst,"Excel, HLOOKUP, VLOOKUP, Data Extraction, Statistical Analysis, STATA, Data...",Delhi NCR,Pooja Gupta,2018-09-07,"3,25,000 - 7,00,000 P.A."
Talent Socio,2-4 yrs,2) 1+ years of relevant experience;- 2-3 years of work-ex preferably in an analytical role that involved ...,https://www.naukri.com/job-listings-Data-Analyst-R-sql-Talent-Socio-Gurgaon-Gurugram-2-to-4-years-030918900238?src=jobsearchDesk&sid=1539017115299&xp=8&px=2,Data Analyst - R/sql,"SQL, Data Modeling, Data Warehousing, Data Analysis, Excel...","Gurgaon, Gurugram",HR,2018-09-04,Not disclosed
McKinsey Knowledge Centre India Pvt Ltd,3-6 yrs,3+ years of relevant and professional work experience with a reputed analytics firm;Experience with ...,https://www.naukri.com/job-listings-Data-Analyst-Periscope-ventures-McKinsey-Knowledge-Centre-India-Pvt-Ltd-Gurgaon-3-to-6-years-240818901471?src=jobsearchDesk&sid=1539017115299&xp=9&px=2,"Data Analyst - Periscope,ventures","AWS, Azure, Amazon Web Services, cloud architecture, Data Warehousing...",Gurgaon,HR,2018-08-27,Not disclosed
